trial,timepoints,vdcc_c0,vdcc_c1,vdcc_c2,vdcc_c3,vdcc_o,ca_sum,ca
1000.0,9.029,60.0,5.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.03,60.0,5.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.031,61.0,4.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.032,59.0,6.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.033,59.0,6.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.034,59.0,6.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.035,61.0,4.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.036,61.0,4.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.037,61.0,4.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.038,62.0,3.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.039,62.0,3.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.040000000000001,62.0,3.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.041,62.0,3.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.042,62.0,3.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.043000000000001,62.0,3.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.044,62.0,3.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.045,62.0,3.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.046,62.0,3.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.047,62.0,3.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.048,62.0,3.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.049,62.0,3.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.05,63.0,2.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.051,63.0,2.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.052,63.0,2.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.053,63.0,2.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.054,62.0,3.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.055,62.0,3.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.056000000000001,62.0,3.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.057,62.0,3.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.058,62.0,3.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.059000000000001,62.0,3.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.06,62.0,3.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.061,62.0,3.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.062,62.0,3.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.063,62.0,3.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.064,64.0,1.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.065,64.0,1.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.066,64.0,1.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.067,63.0,2.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.068,63.0,2.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.069,63.0,2.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.07,62.0,3.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.071,62.0,3.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.072000000000001,62.0,3.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.073,62.0,3.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.074,62.0,3.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.075000000000001,63.0,2.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.076,63.0,2.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.077,63.0,2.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.078,63.0,2.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.079,63.0,2.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.08,63.0,2.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.081,62.0,3.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.082,61.0,4.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.083,61.0,4.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.084,61.0,4.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.085,61.0,4.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.086,61.0,4.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.087,61.0,4.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.088000000000001,61.0,4.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.089,60.0,5.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.09,59.0,6.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.091,59.0,6.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.092,59.0,6.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.093,59.0,6.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.094,59.0,6.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.095,59.0,6.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.096,59.0,6.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.097,60.0,5.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.098,60.0,5.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.099,60.0,5.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.1,60.0,5.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.101,59.0,6.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.102,59.0,6.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.103,59.0,6.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.104000000000001,59.0,6.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.105,58.0,7.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.106,58.0,7.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.107,58.0,7.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.108,58.0,7.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.109,58.0,7.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.11,58.0,7.0,0.0,0.0,0.0,9812.0,0.0
1000.0,9.111,59.0,6.0,0.0,0.0,0.0,9812.0,0.0
