trial,timepoints,h0m0,h0m1,h0m2,h1m0,h1m1,h1m2,h2m0,h2m1,h2m2,ca
1000.0,0.003051,4862.0,4278.0,948.0,4415.0,3880.0,836.0,1023.0,845.0,192.0,81.0
1000.0,0.003052,4861.0,4279.0,948.0,4415.0,3880.0,836.0,1023.0,845.0,192.0,80.0
1000.0,0.0030529999999999997,4861.0,4279.0,948.0,4415.0,3880.0,836.0,1023.0,845.0,192.0,80.0
1000.0,0.003054,4860.0,4280.0,948.0,4414.0,3880.0,837.0,1023.0,845.0,192.0,77.0
1000.0,0.003055,4860.0,4280.0,948.0,4414.0,3880.0,837.0,1023.0,845.0,192.0,77.0
1000.0,0.0030559999999999997,4860.0,4280.0,948.0,4415.0,3879.0,837.0,1023.0,845.0,192.0,78.0
1000.0,0.003057,4860.0,4280.0,948.0,4415.0,3878.0,837.0,1023.0,846.0,192.0,77.0
1000.0,0.003058,4860.0,4280.0,948.0,4415.0,3878.0,837.0,1023.0,846.0,192.0,77.0
1000.0,0.0030589999999999997,4860.0,4279.0,949.0,4415.0,3878.0,837.0,1023.0,846.0,192.0,76.0
1000.0,0.00306,4861.0,4278.0,949.0,4415.0,3878.0,837.0,1023.0,846.0,192.0,77.0
1000.0,0.003061,4861.0,4278.0,949.0,4415.0,3878.0,837.0,1023.0,846.0,192.0,77.0
1000.0,0.003062,4861.0,4278.0,949.0,4415.0,3878.0,837.0,1023.0,846.0,192.0,77.0
1000.0,0.0030629999999999998,4861.0,4278.0,949.0,4415.0,3877.0,837.0,1023.0,847.0,192.0,76.0
1000.0,0.003064,4861.0,4278.0,949.0,4415.0,3877.0,837.0,1022.0,848.0,192.0,75.0
1000.0,0.003065,4861.0,4279.0,948.0,4415.0,3877.0,837.0,1022.0,848.0,192.0,76.0
1000.0,0.0030659999999999997,4861.0,4279.0,948.0,4415.0,3877.0,837.0,1022.0,848.0,192.0,76.0
1000.0,0.003067,4861.0,4279.0,948.0,4415.0,3877.0,837.0,1022.0,848.0,192.0,76.0
1000.0,0.003068,4861.0,4279.0,948.0,4415.0,3877.0,837.0,1022.0,848.0,192.0,76.0
1000.0,0.0030689999999999997,4862.0,4279.0,947.0,4416.0,3876.0,837.0,1022.0,848.0,192.0,79.0
1000.0,0.00307,4862.0,4279.0,947.0,4415.0,3876.0,837.0,1023.0,848.0,192.0,78.0
1000.0,0.003071,4862.0,4279.0,947.0,4414.0,3877.0,837.0,1023.0,848.0,192.0,77.0
1000.0,0.003072,4863.0,4278.0,947.0,4414.0,3877.0,837.0,1023.0,848.0,192.0,78.0
1000.0,0.0030729999999999998,4864.0,4277.0,947.0,4414.0,3877.0,837.0,1023.0,848.0,192.0,79.0
1000.0,0.003074,4865.0,4275.0,948.0,4414.0,3877.0,837.0,1023.0,848.0,192.0,79.0
1000.0,0.003075,4865.0,4276.0,947.0,4412.0,3880.0,836.0,1023.0,848.0,192.0,79.0
1000.0,0.0030759999999999997,4865.0,4276.0,947.0,4412.0,3881.0,835.0,1023.0,848.0,192.0,80.0
1000.0,0.003077,4866.0,4274.0,947.0,4412.0,3882.0,835.0,1023.0,848.0,192.0,80.0
1000.0,0.003078,4866.0,4274.0,947.0,4412.0,3882.0,835.0,1023.0,848.0,192.0,80.0
1000.0,0.0030789999999999997,4866.0,4274.0,947.0,4411.0,3883.0,835.0,1023.0,848.0,192.0,79.0
1000.0,0.00308,4865.0,4275.0,947.0,4411.0,3883.0,835.0,1023.0,848.0,192.0,78.0
1000.0,0.003081,4864.0,4276.0,947.0,4412.0,3882.0,835.0,1023.0,848.0,192.0,78.0
1000.0,0.0030819999999999997,4864.0,4276.0,947.0,4412.0,3882.0,835.0,1023.0,848.0,192.0,78.0
1000.0,0.003083,4865.0,4275.0,947.0,4412.0,3882.0,835.0,1023.0,849.0,191.0,80.0
1000.0,0.003084,4865.0,4275.0,947.0,4411.0,3882.0,835.0,1024.0,849.0,191.0,79.0
1000.0,0.003085,4865.0,4275.0,947.0,4411.0,3882.0,835.0,1024.0,849.0,191.0,79.0
1000.0,0.0030859999999999998,4865.0,4275.0,947.0,4410.0,3883.0,835.0,1024.0,849.0,191.0,78.0
1000.0,0.003087,4865.0,4275.0,947.0,4410.0,3883.0,835.0,1024.0,849.0,191.0,78.0
1000.0,0.003088,4865.0,4275.0,947.0,4410.0,3882.0,836.0,1024.0,849.0,191.0,77.0
1000.0,0.0030889999999999997,4864.0,4276.0,947.0,4410.0,3882.0,836.0,1024.0,849.0,191.0,76.0
1000.0,0.00309,4864.0,4276.0,947.0,4411.0,3882.0,835.0,1024.0,849.0,191.0,78.0
1000.0,0.003091,4863.0,4276.0,948.0,4411.0,3883.0,835.0,1024.0,848.0,191.0,77.0
1000.0,0.0030919999999999997,4864.0,4275.0,948.0,4411.0,3883.0,835.0,1024.0,848.0,191.0,78.0
1000.0,0.003093,4864.0,4275.0,948.0,4411.0,3882.0,836.0,1024.0,848.0,191.0,77.0
1000.0,0.003094,4864.0,4275.0,948.0,4411.0,3882.0,836.0,1024.0,848.0,191.0,77.0
1000.0,0.0030949999999999997,4864.0,4275.0,948.0,4411.0,3882.0,836.0,1024.0,848.0,191.0,77.0
1000.0,0.003096,4864.0,4275.0,948.0,4411.0,3882.0,836.0,1024.0,848.0,191.0,77.0
1000.0,0.003097,4864.0,4275.0,948.0,4411.0,3882.0,836.0,1024.0,848.0,191.0,77.0
1000.0,0.003098,4864.0,4275.0,948.0,4411.0,3882.0,836.0,1024.0,848.0,191.0,77.0
1000.0,0.0030989999999999998,4864.0,4275.0,948.0,4411.0,3882.0,836.0,1024.0,848.0,191.0,77.0
1000.0,0.0031,4865.0,4273.0,948.0,4410.0,3884.0,836.0,1024.0,848.0,191.0,76.0
1000.0,0.003101,4865.0,4273.0,948.0,4410.0,3884.0,836.0,1024.0,848.0,191.0,76.0
1000.0,0.0031019999999999997,4865.0,4273.0,948.0,4410.0,3884.0,836.0,1024.0,848.0,191.0,76.0
1000.0,0.003103,4867.0,4271.0,948.0,4411.0,3883.0,836.0,1024.0,848.0,191.0,79.0
1000.0,0.003104,4865.0,4272.0,948.0,4412.0,3883.0,836.0,1024.0,848.0,191.0,77.0
1000.0,0.0031049999999999997,4867.0,4270.0,948.0,4411.0,3884.0,836.0,1024.0,848.0,191.0,78.0
1000.0,0.003106,4867.0,4269.0,949.0,4411.0,3884.0,836.0,1024.0,848.0,191.0,77.0
1000.0,0.003107,4867.0,4269.0,949.0,4411.0,3884.0,836.0,1024.0,848.0,191.0,77.0
1000.0,0.0031079999999999997,4867.0,4269.0,949.0,4412.0,3883.0,836.0,1024.0,848.0,191.0,78.0
1000.0,0.003109,4866.0,4270.0,949.0,4412.0,3883.0,836.0,1024.0,848.0,191.0,77.0
1000.0,0.00311,4866.0,4270.0,949.0,4413.0,3882.0,836.0,1024.0,848.0,191.0,78.0
1000.0,0.003111,4867.0,4269.0,949.0,4413.0,3882.0,836.0,1024.0,848.0,191.0,79.0
1000.0,0.0031119999999999997,4867.0,4269.0,949.0,4413.0,3882.0,836.0,1024.0,848.0,191.0,79.0
1000.0,0.003113,4866.0,4271.0,948.0,4413.0,3882.0,836.0,1024.0,849.0,190.0,80.0
1000.0,0.003114,4867.0,4270.0,948.0,4414.0,3881.0,835.0,1024.0,849.0,191.0,81.0
1000.0,0.0031149999999999997,4867.0,4269.0,948.0,4413.0,3883.0,835.0,1024.0,849.0,191.0,79.0
1000.0,0.003116,4866.0,4271.0,947.0,4413.0,3883.0,835.0,1024.0,849.0,191.0,79.0
1000.0,0.003117,4867.0,4270.0,947.0,4414.0,3883.0,835.0,1023.0,849.0,191.0,81.0
1000.0,0.0031179999999999997,4867.0,4270.0,947.0,4415.0,3882.0,835.0,1023.0,849.0,191.0,82.0
1000.0,0.003119,4867.0,4269.0,948.0,4416.0,3881.0,835.0,1023.0,849.0,191.0,82.0
1000.0,0.00312,4867.0,4269.0,948.0,4416.0,3881.0,835.0,1023.0,849.0,191.0,82.0
1000.0,0.0031209999999999996,4867.0,4269.0,948.0,4416.0,3882.0,834.0,1023.0,849.0,191.0,83.0
1000.0,0.0031219999999999998,4867.0,4268.0,949.0,4416.0,3882.0,834.0,1023.0,849.0,191.0,82.0
1000.0,0.003123,4867.0,4268.0,949.0,4417.0,3881.0,834.0,1023.0,849.0,191.0,83.0
1000.0,0.003124,4867.0,4268.0,949.0,4417.0,3881.0,834.0,1023.0,849.0,191.0,83.0
1000.0,0.0031249999999999997,4868.0,4267.0,949.0,4418.0,3880.0,834.0,1023.0,849.0,191.0,85.0
1000.0,0.003126,4868.0,4267.0,949.0,4418.0,3881.0,833.0,1023.0,849.0,191.0,86.0
1000.0,0.003127,4869.0,4266.0,949.0,4417.0,3883.0,832.0,1024.0,848.0,191.0,88.0
1000.0,0.0031279999999999997,4869.0,4266.0,949.0,4417.0,3883.0,832.0,1024.0,848.0,191.0,88.0
1000.0,0.003129,4869.0,4266.0,949.0,4417.0,3883.0,832.0,1024.0,848.0,191.0,88.0
1000.0,0.00313,4868.0,4267.0,949.0,4416.0,3884.0,832.0,1024.0,848.0,191.0,86.0
1000.0,0.0031309999999999997,4868.0,4267.0,949.0,4416.0,3884.0,832.0,1024.0,848.0,191.0,86.0
1000.0,0.003132,4868.0,4266.0,950.0,4416.0,3884.0,832.0,1024.0,848.0,191.0,85.0
1000.0,0.003133,4868.0,4266.0,950.0,4416.0,3883.0,833.0,1024.0,848.0,191.0,84.0
1000.0,0.003134,4868.0,4266.0,950.0,4417.0,3882.0,833.0,1024.0,848.0,191.0,85.0
